data,ora,consumo
20231127,0,200
20231127,1,210
20231127,2,220
20231127,3,230
20231127,4,240
20231127,5,250
20231127,6,260
20231127,7,800
20231127,8,1000
20231127,9,1200
20231127,10,1300
20231127,11,1400
20231127,12,1500
20231127,13,1600
20231127,14,1700
20231127,15,1800
20231127,16,1700
20231127,17,1600
20231127,18,1500
20231127,19,1400
20231127,20,1300
20231127,21,1000
20231127,22,800
20231127,23,500
20231128,0,300
20231128,1,310
20231128,2,320
20231128,3,330
20231128,4,340
20231128,5,350
20231128,6,360
20231128,7,900
20231128,8,1100
20231128,9,1300
20231128,10,1400
20231128,11,1500
20231128,12,1600
20231128,13,1700
20231128,14,1800
20231128,15,1900
20231128,16,1800
20231128,17,1700
20231128,18,1600
20231128,19,1500
20231128,20,1400
20231128,21,1100
20231128,22,900
20231128,23,600
20231129,0,250
20231129,1,260
20231129,2,270
20231129,3,280
20231129,4,290
20231129,5,300
20231129,6,310
20231129,7,1000
20231129,8,1200
20231129,9,1500
20231129,10,1600
20231129,11,1700
20231129,12,1800
20231129,13,1900
20231129,14,2000
20231129,15,2100
20231129,16,2000
20231129,17,1900
20231129,18,1800
20231129,19,1700
20231129,20,1600
20231129,21,1200
20231129,22,1000
20231129,23,700
20231130,0,300
20231130,1,310
20231130,2,320
20231130,3,330
20231130,4,340
20231130,5,350
20231130,6,360
20231130,7,1100
20231130,8,1300
20231130,9,1600
20231130,10,1700
20231130,11,1800
20231130,12,1900
20231130,13,2000
20231130,14,2100
20231130,15,2200
20231130,16,2100
20231130,17,2000
20231130,18,1900
20231130,19,1800
20231130,20,1700
20231130,21,1300
20231130,22,1100
20231130,23,800
20231201,0,350
20231201,1,360
20231201,2,370
20231201,3,380
20231201,4,390
20231201,5,400
20231201,6,410
20231201,7,1200
20231201,8,1400
20231201,9,1700
20231201,10,1800
20231201,11,1900
20231201,12,2000
20231201,13,2100
20231201,14,2200
20231201,15,2300
20231201,16,2200
20231201,17,2100
20231201,18,2000
20231201,19,1900
20231201,20,1800
20231201,21,1400
20231201,22,1200
20231201,23,900
20231202,0,400
20231202,1,410
20231202,2,420
20231202,3,430
20231202,4,440
20231202,5,450
20231202,6,460
20231202,7,1300
20231202,8,1500
20231202,9,1800
20231202,10,1900
20231202,11,2000
20231202,12,2100
20231202,13,2200
20231202,14,2300
20231202,15,2400
20231202,16,2300
20231202,17,2200
20231202,18,2100
20231202,19,2000
20231202,20,1900
20231202,21,1500
20231202,22,1300
20231202,23,1000
20231203,0,450
20231203,1,460
20231203,2,470
20231203,3,480
20231203,4,490
20231203,5,500
20231203,6,510
20231203,7,1400
20231203,8,1600
20231203,9,1900
20231203,10,2000
20231203,11,2100
20231203,12,2200
20231203,13,2300
20231203,14,2400
20231203,15,2500
20231203,16,2400
20231203,17,2300
20231203,18,2200
20231203,19,2100
20231203,20,2000
20231203,21,1600
20231203,22,1400
20231203,23,1100
20231204,0,500
20231204,1,510
20231204,2,520
20231204,3,530
20231204,4,540
20231204,5,550
20231204,6,560
20231204,7,1500
20231204,8,1700
20231204,9,2000
20231204,10,2100
20231204,11,2200
20231204,12,2300
20231204,13,2400
20231204,14,2500
20231204,15,2600
20231204,16,2500
20231204,17,2400
20231204,18,2300
20231204,19,2200
20231204,20,2100
20231204,21,1700
20231204,22,1500
20231204,23,1200
20231205,0,550
20231205,1,560
20231205,2,570
20231205,3,580
20231205,4,590
20231205,5,600
20231205,6,610
20231205,7,1600
20231205,8,1800
20231205,9,2100
20231205,10,2200
20231205,11,2300
20231205,12,2400
20231205,13,2500
20231205,14,2600
20231205,15,2700
20231205,16,2600
20231205,17,2500
20231205,18,2400
20231205,19,2300
20231205,20,2200
20231205,21,1800
20231205,22,1600
20231205,23,1300
20231206,0,600
20231206,1,610
20231206,2,620
20231206,3,630
20231206,4,640
20231206,5,650
20231206,6,660
20231206,7,1700
20231206,8,1900
20231206,9,2200
20231206,10,2300
20231206,11,2400
20231206,12,2500
20231206,13,2600
