data,ora,consumo
20230808,00,403
20230808,01,285
20230808,02,195
20230808,03,281
20230808,04,405
20230808,05,189
20230808,06,222
20230808,07,171
20230808,08,354
20230808,09,711
20230808,10,1435
20230808,11,816
20230808,12,1197
20230808,13,1216
20230808,14,427
20230808,15,1030
20230808,16,299
20230808,17,310
20230808,18,471
20230808,19,527
20230808,20,368
20230808,21,772
20230808,22,809
20230808,23,773
20230809,00,533
20230809,01,310
20230809,02,218
20230809,03,232
20230809,04,196
20230809,05,188
20230809,06,211
20230809,07,766
20230809,08,229
20230809,09,169
20230809,10,168
20230809,11,204
20230809,12,181
20230809,13,387
20230809,14,720
20230809,15,605
20230809,16,274
20230809,17,294
20230809,18,317
20230809,19,423
20230809,20,370
20230809,21,570
20230809,22,498
20230809,23,305
20230810,00,217
20230810,01,208
20230810,02,203
20230810,03,196
20230810,04,179
20230810,05,173
20230810,06,222
20230810,07,570
20230810,08,207
20230810,09,166
20230810,10,197
20230810,11,173
20230810,12,189
20230810,13,835
20230810,14,381
20230810,15,1104
20230810,16,234
20230810,17,325
20230810,18,307
20230810,19,235
20230810,20,338
20230810,21,686
20230810,22,524
20230810,23,460
20230811,00,376
20230811,01,319
20230811,02,239
20230811,03,212
20230811,04,190
20230811,05,198
20230811,06,231
20230811,07,178
20230811,08,197
20230811,09,169
20230811,10,198
20230811,11,177
20230811,12,654
20230811,13,1209
20230811,14,458
20230811,15,206
20230811,16,205
20230811,17,307
20230811,18,389
20230811,19,1118
20230811,20,379
20230811,21,550
20230811,22,555
20230811,23,366
20230812,00,255
20230812,01,195
20230812,02,177
20230812,03,208
20230812,04,172
20230812,05,199
20230812,06,213
20230812,07,492
20230812,08,280
20230812,09,909
20230812,10,299
20230812,11,286
20230812,12,585
20230812,13,221
20230812,14,394
20230812,15,1109
20230812,16,976
20230812,17,349
20230812,18,379
20230812,19,298
20230812,20,280
20230812,21,1347
20230812,22,724
20230812,23,564
20230813,00,503
20230813,01,261
20230813,02,222
20230813,03,196
20230813,04,186
20230813,05,200
20230813,06,730
20230813,07,242
20230813,08,356
20230813,09,721
20230813,10,220
20230813,11,193
20230813,12,1593
20230813,13,1863
20230813,14,468
20230813,15,1040
20230813,16,350
20230813,17,261
20230813,18,240
20230813,19,241
20230813,20,372
20230813,21,368
20230813,22,368
20230813,23,298
20230814,00,206
20230814,01,188
20230814,02,198
20230814,03,204
20230814,04,175
20230814,05,198
20230814,06,223
20230814,07,185
20230814,08,179
20230814,09,172
20230814,10,199
20230814,11,200
20230814,12,216
20230814,13,448
20230814,14,353
20230814,15,235
20230814,16,270
20230814,17,713
20230814,18,806
20230814,19,596
20230814,20,668
20230814,21,1062
20230814,22,976
20230814,23,1697
20230815,00,752
20230815,01,561
20230815,02,402
20230815,03,396
20230815,04,264
20230815,05,246
20230815,06,558
20230815,07,560
20230815,08,495
20230815,09,479
20230815,10,477
20230815,11,437
20230815,12,612
20230815,13,620
20230815,14,769
20230815,15,618
20230815,16,272
20230815,17,345
20230815,18,541
20230815,19,451
20230815,20,448
20230815,21,846
20230815,22,539
20230815,23,1218
20230816,00,340
20230816,01,232
20230816,02,214
20230816,03,212
20230816,04,183
20230816,05,181
20230816,06,207
20230816,07,199
20230816,08,201
20230816,09,171
20230816,10,177
20230816,11,213
20230816,12,217
20230816,13,450
20230816,14,371
20230816,15,437
20230816,16,433
20230816,17,359
20230816,18,378
20230816,19,424
20230816,20,395
20230816,21,702
20230816,22,892
20230816,23,1597
20230817,00,435
20230817,01,319
20230817,02,328
20230817,03,286
20230817,04,195
20230817,05,201
20230817,06,227
20230817,07,297
20230817,08,226
20230817,09,207
20230817,10,210
20230817,11,197
20230817,12,207
20230817,13,923
20230817,14,344
20230817,15,1009
20230817,16,222
20230817,17,274
20230817,18,604
20230817,19,820
20230817,20,552
20230817,21,923
20230817,22,630
20230817,23,862
20230818,00,457
20230818,01,225
20230818,02,202
20230818,03,215
20230818,04,273
20230818,05,228
20230818,06,203
20230818,07,616
20230818,08,299
20230818,09,243
20230818,10,250
20230818,11,229
20230818,12,329
20230818,13,615
20230818,14,708
20230818,15,798
20230818,16,225
20230818,17,266
20230818,18,298
20230818,19,469
20230818,20,407
20230818,21,903
20230818,22,1149
20230818,23,1027
20230819,00,490
20230819,01,273
20230819,02,213
20230819,03,214
20230819,04,189
20230819,05,203
20230819,06,221
20230819,07,563
20230819,08,278
20230819,09,263
20230819,10,260
20230819,11,217
20230819,12,250
20230819,13,373
20230819,14,368
20230819,15,256
20230819,16,237
20230819,17,254
20230819,18,540
20230819,19,916
20230819,20,634
20230819,21,1332
20230819,22,1021
20230819,23,1871
20230820,00,569
20230820,01,368
20230820,02,306
20230820,03,248
20230820,04,316
20230820,05,213
20230820,06,232
20230820,07,842
20230820,08,359
20230820,09,238
20230820,10,193
20230820,11,250
20230820,12,591
20230820,13,1924
20230820,14,1053
20230820,15,324
20230820,16,250
20230820,17,234
20230820,18,307
20230820,19,273
20230820,20,312
20230820,21,1183
20230820,22,1500
20230820,23,524
20230821,00,382
20230821,01,234
20230821,02,225
20230821,03,200
20230821,04,215
20230821,05,211
20230821,06,223
20230821,07,241
20230821,08,189
20230821,09,182
20230821,10,199
20230821,11,218
20230821,12,244
20230821,13,985
20230821,14,512
20230821,15,1514
20230821,16,818
20230821,17,585
20230821,18,352
20230821,19,309
20230821,20,346
20230821,21,1522
20230821,22,1471
20230821,23,1265
20230822,00,298
20230822,01,227
20230822,02,227
20230822,03,240
20230822,04,212
20230822,05,205
20230822,06,219
20230822,07,407
20230822,08,219
20230822,09,185
20230822,10,204
20230822,11,258
20230822,12,311
20230822,13,2120
20230822,14,1787
20230822,15,1751
20230822,16,705
20230822,17,265
20230822,18,314
20230822,19,686
20230822,20,343
20230822,21,1252
20230822,22,1189
20230822,23,523
20230823,00,565
20230823,01,642
20230823,02,268
20230823,03,320
20230823,04,328
20230823,05,250
20230823,06,234
20230823,07,224
20230823,08,234
20230823,09,217
20230823,10,234
20230823,11,252
20230823,12,273
20230823,13,1638
20230823,14,2111
20230823,15,1098
20230823,16,700
20230823,17,594
20230823,18,1031
20230823,19,259
20230823,20,298
20230823,21,1348
20230823,22,1561
20230823,23,1348
20230824,00,1031
20230824,01,290
20230824,02,289
20230824,03,314
20230824,04,228
20230824,05,204
20230824,06,249
20230824,07,363
20230824,08,196
20230824,09,182
20230824,10,223
20230824,11,253
20230824,12,263
20230824,13,1203
20230824,14,2146
20230824,15,1772
20230824,16,724
20230824,17,706
20230824,18,716
20230824,19,790
