battery_level, cycles, battery_capacity
0.1, 0.0, 9992.8571
0.5, 0.0, 9992.8571
0.49, 0.006, 9992.855
0.49, 0.006, 9992.855
0.49, 0.006, 9992.855
0.49, 0.006, 9992.855
0.49, 0.006, 9992.855
0.49, 0.006, 9992.855
0.49, 0.006, 9992.855
0.49, 0.006, 9992.855
0.49, 0.006, 9992.855
0.49, 0.006, 9992.855
0.3136, 0.11184, 9992.818
0.1819, 0.19087, 9992.7903
0.1819, 0.19087, 9992.7903
0.1819, 0.19087, 9992.7903
0.1819, 0.19087, 9992.7903
0.1819, 0.19087, 9992.7903
0.7873, 0.19087, 9992.7903
0.9851, 0.19087, 9992.7903
0.9851, 0.19087, 9992.7903
0.9899, 0.19087, 9992.7903
0.9977, 0.19087, 9992.7903
0.9989, 0.19087, 9992.7903
0.9998, 0.19087, 9992.7903
0.9999, 0.19087, 9992.7903
0.8999, 0.25086, 9992.7693
0.9129, 0.25086, 9992.7693
0.9321, 0.25086, 9992.7693
0.9443, 0.25086, 9992.7693
0.9928, 0.25086, 9992.7693
0.998, 0.25086, 9992.7693
0.998, 0.25086, 9992.7693
0.509, 0.54427, 9992.6666
0.4072, 0.60535, 9992.6453
0.5554, 0.60535, 9992.6453
0.5732, 0.60535, 9992.6453
0.3325, 0.7498, 9992.5947
0.6796, 0.7498, 9992.5947
0.2175, 1.02708, 9992.4977
0.3192, 1.02708, 9992.4977
0.5166, 1.02708, 9992.4977
0.8598, 1.02708, 9992.4977
0.9075, 1.02708, 9992.4977
0.9686, 1.02708, 9992.4977
0.8621, 1.09101, 9992.4753
0.8814, 1.09101, 9992.4753
0.8726, 1.0963, 9992.4734
0.9465, 1.0963, 9992.4734
0.4543, 1.39161, 9992.3701
0.9673, 1.39161, 9992.3701
0.9948, 1.39161, 9992.3701
0.9978, 1.39161, 9992.3701
0.8182, 1.49937, 9992.3324
0.4827, 1.70065, 9992.2619
0.2751, 1.82519, 9992.2183
0.1678, 1.88956, 9992.1958
0.1678, 1.88956, 9992.1958
0.0621, 1.95299, 9992.1736
0.0279, 1.97348, 9992.1664
0.0257, 1.97482, 9992.166
0.0257, 1.97482, 9992.166
0.0257, 1.97482, 9992.166
0.0095, 1.98453, 9992.1626
0.0051, 1.98715, 9992.1616
0.0043, 1.98761, 9992.1615
0.0033, 1.9882, 9992.1613
0.003, 1.98838, 9992.1612
0.332, 1.98838, 9992.1612
0.3121, 2.00033, 9992.157
0.2122, 2.06025, 9992.1361
0.1401, 2.10354, 9992.1209
0.1023, 2.12624, 9992.113
0.1023, 2.12624, 9992.113
0.4793, 2.12624, 9992.113
0.4897, 2.12624, 9992.113
0.4897, 2.12624, 9992.113
0.284, 2.24964, 9992.0698
0.1392, 2.33654, 9992.0394
0.0612, 2.38331, 9992.023
0.0318, 2.40094, 9992.0168
0.4481, 2.40094, 9992.0168
0.1479, 2.58108, 9991.9538
0.1479, 2.58108, 9991.9538
0.1479, 2.58108, 9991.9538
0.0917, 2.6148, 9991.942
0.0633, 2.63186, 9991.936
0.0285, 2.65275, 9991.9287
0.0285, 2.65275, 9991.9287
0.0285, 2.65275, 9991.9287
0.388, 2.65275, 9991.9287
0.9388, 2.65275, 9991.9287
0.9388, 2.65275, 9991.9287
0.9841, 2.65275, 9991.9287
0.7774, 2.77675, 9991.8853
0.6608, 2.84672, 9991.8608
0.7829, 2.84672, 9991.8608
0.8046, 2.84672, 9991.8608
0.8085, 2.84672, 9991.8608
0.7681, 2.87098, 9991.8523
0.7751, 2.87098, 9991.8523
0.7751, 2.87098, 9991.8523
0.31, 3.15002, 9991.7546
0.448, 3.15002, 9991.7546
0.3136, 3.23066, 9991.7264
0.2634, 3.26077, 9991.7159
0.216, 3.28922, 9991.7059
0.1426, 3.33328, 9991.6905
0.1212, 3.34611, 9991.686
0.3145, 3.34611, 9991.686
0.1981, 3.41593, 9991.6616
0.0297, 3.51696, 9991.6262
0.0113, 3.52801, 9991.6223
0.0001, 3.53472, 9991.62
0.0001, 3.53473, 9991.62
0.0, 3.53478, 9991.62
0.32, 3.53478, 9991.62
0.3404, 3.53478, 9991.62
0.5581, 3.53478, 9991.62
0.4744, 3.58501, 9991.6024
0.5638, 3.58501, 9991.6024
0.8124, 3.58501, 9991.6024
0.3575, 3.85798, 9991.5068
0.3575, 3.85798, 9991.5068
0.1823, 3.96308, 9991.4701
0.1513, 3.98167, 9991.4636
0.4059, 3.98167, 9991.4636
0.1096, 4.15945, 9991.4013
0.6616, 4.15945, 9991.4013
0.8173, 4.15945, 9991.4013
0.6538, 4.25753, 9991.367
0.768, 4.25753, 9991.367
0.8469, 4.25753, 9991.367
0.8806, 4.25753, 9991.367
0.7573, 4.3315, 9991.3411
0.727, 4.34968, 9991.3348
0.8144, 4.34968, 9991.3348
0.6271, 4.46207, 9991.2954
