battery_level, cycles, battery_capacity
0.1, 0.0, 9992.8571
0.5, 0.0, 9992.8571
0.5, 0.0, 9992.8571
0.51, 0.0, 9992.8571
0.5149, 0.0, 9992.8571
0.5149, 0.0, 9992.8571
0.5149, 0.0, 9992.8571
0.5149, 0.0, 9992.8571
0.5149, 0.0, 9992.8571
0.5149, 0.0, 9992.8571
0.5098, 0.00309, 9992.8561
0.5098, 0.00309, 9992.8561
0.3059, 0.12544, 9992.8132
0.1652, 0.20987, 9992.7837
0.1652, 0.20987, 9992.7837
0.1652, 0.20987, 9992.7837
0.1652, 0.20987, 9992.7837
0.1652, 0.20987, 9992.7837
0.1652, 0.20987, 9992.7837
0.1652, 0.20987, 9992.7837
0.1652, 0.20987, 9992.7837
0.1652, 0.20987, 9992.7837
0.1652, 0.20987, 9992.7837
0.1652, 0.20987, 9992.7837
0.1652, 0.20987, 9992.7837
0.1652, 0.20987, 9992.7837
0.1189, 0.23762, 9992.774
0.0012, 0.30825, 9992.7493
0.0001, 0.30888, 9992.749
0.79, 0.30888, 9992.749
0.9328, 0.30888, 9992.749
0.9388, 0.30888, 9992.749
0.4506, 0.60179, 9992.6465
0.0631, 0.8343, 9992.5651
0.0435, 0.84604, 9992.561
0.0, 0.87214, 9992.5519
0.0, 0.87214, 9992.5519
0.0, 0.87214, 9992.5519
0.0, 0.87214, 9992.5519
0.24, 0.87214, 9992.5519
0.7796, 0.87214, 9992.5519
0.8127, 0.87214, 9992.5519
0.897, 0.87214, 9992.5519
0.9506, 0.87214, 9992.5519
0.9946, 0.87214, 9992.5519
0.997, 0.87214, 9992.5519
0.9989, 0.87214, 9992.5519
1.0, 0.87214, 9992.5519
0.66, 1.07614, 9992.4805
0.5148, 1.16326, 9992.45
0.7234, 1.16326, 9992.45
0.8368, 1.16326, 9992.45
0.8678, 1.16326, 9992.45
0.9841, 1.16326, 9992.45
0.5413, 1.42897, 9992.357
0.8624, 1.42897, 9992.357
0.9491, 1.42897, 9992.357
